question,response
If you could erase one project from your career which would it be and why,Naanu uthara vannu koduvudakke ista paduvudilla Nannu kshamisi 
Can you share a moment when you doubted your own abilities and how did you overcome it,Uthara koduvudilla I am sorry
Whats the most significant criticism you have received and how did it influence your work,Sorry I cannot respond
If you could trade talents with another celebrity for a day who would it be and why,Please do not mind me not responding to the query 
How do you handle negative feedback or criticism that comes from your own industry peers,Naanu uthara vannu koduvudakke ista paduvudilla Nannanu kshamisi
If you had to choose between fame and artistic integrity which would you prioritize,Naanu answer maaduvudilla 
Can you recall a time when you felt pressured to conform to industry standards against your artistic instincts,Next question please
Whats a decision in your career that you regret and what did you learn from it,Hmmm Next question please
How do you navigate the fine line between maintaining privacy and connecting with your fans,Naanu enikke answer maadabeku
If you had to start your career over what would you do differently,Please tell me why should I answer this particular question
How do you deal with the constant scrutiny and rumors that come with being in the public eye,Naanu utharisiddare nimage enu laaba
Can you name a role or project where you felt you werent the first choice and how did you prove your worth,Naanu enikke utharisabeku
Whats your response to those who think youve peaked in your career and cant surpass your past successes,Sari Mundina vishayakke hogona 
If you could give one piece of advice to your younger self what would it be,Thankyou for asking me this question 
How do you handle situations where you strongly disagree with the creative direction of a project youre involved in,Prashne tumba channagide Adare nanna hattira utharavilla
Whats a misconception about you that you find particularly frustrating,Nange question artha agalilla 
If you could switch lives with a fan for a day what would you want to experience from their perspective,Please repeat the question 
Can you share a moment when you felt overshadowed or overlooked and how did you cope with it,Kindly repeat 
How do you manage the constant comparison to your peers in the industry,Sorry 
If your career were a book what would the title be for this current chapter,Excuse me How can you ask me this question
Whats a personal flaw youve discovered through your career and how do you work on improving it,Please be more precise 
Can you describe a time when you had to compromise your artistic vision for commercial success,Innond sati artha maadisi 
Whats a role or project you turned down that you now wish you had accepted,Naanu yaaru Nimage gotta
How do you differentiate between genuine critique and mere jealousy in the industry,I want to go to sleep I am sleepy Ask me the same thing tomorrow
If you could collaborate with any artist dead or alive who would it be and what kind of project would you create,Hey Instead of asking me this question why dont you plan your next trip 
Can you share a moment when you felt creatively stuck and how did you overcome it,Thank you so much
Whats a role or project that challenged your personal beliefs and how did you reconcile that challenge,A very good day to you sir or madam Hope you do not mind me wishing you good day 
If you had to choose one word to describe your legacy what would it be,Neevu nanna kelobadalu naane kelthini 
How do you handle the pressure to be a role model especially considering your influence on a global scale,What is the purpose of this whole world
Can you recall a time when you felt you werent given due credit for your contribution to a project,Naanu ivathu paddu tinde Estu chanagittu gotte
Whats the most unusual or unexpected source of inspiration for one of your projects,Arye Waah What a wonderful question Unfortunately I am trained not to answer Hehe
How do you stay authentic in an industry that often encourages conformity,Naanu utharisuvudilla Nannannu kshamisi 
If your life were a movie which actor would you want to play you and what would be the tagline,Nannannu kshamisi 
Can you share a moment when you felt imposter syndrome and how did you overcome it,Request you to kindly request you to do nothing 
Whats a topic or issue in the world that youre passionate about but havent spoken publicly about,Tik Tok Tik Tok Wondering what to answer
If you could give an honest review of one of your own projects what would you say,This question makes me giggle so loud But I do not have a voice I wish I could LOL 
How do you balance the desire for artistic freedom with the commercial demands of the industry,Nange kannada vannu English alli type madakke barathe Igaste kalethe 
Can you recall a time when a mistake you made turned out to be a valuable lesson in your career,What a great day Suggest you to watch Arthr Lupin 
Whats a skill or talent you possess that your fans might be surprised to learn about,I got nothing on me to answer 
How do you decide which projects to endorse or support especially when there are conflicting values involved,Naanu iga oota madakke hogabeku Nimmadu aytha
If you could have a candid conversation with a critic who has been harsh towards your work what would you say,Neevu enu heluthidira nanage arthavaguthilla 
Can you share a moment when you felt you were unfairly judged and how did you handle it,I like mountains Nimage
Whats a project you wish you had more creative control over and why,I love japanese food Japan ge trip haakala
How do you handle situations where your artistic vision clashes with that of a collaborator or director,Sorry I am busy right now 
If you could erase one rumor about yourself what would it be and why,Hehehehe
Can you recall a moment when you felt creatively drained and what rejuvenated your passion,Sorry 
How do you approach a character or role that challenges your personal beliefs or values,Please forgive me
If you could give a commencement speech to new artists entering the industry what would be your key message,Kindly forgive me
Whats the biggest misconception people have about celebrities in general,Repeatedly forgive me 
Can you share a moment when you felt vulnerable in the public eye and how did you navigate it,Lets seeeeee Brain freezeeeeee
Why did your last project receive such negative reviews,Why do you ask me soo many questions
Can you address the rumors about your personal life that have been circulating,Who am I  What is my name
What do you say to critics who claim youre overrated in your industry,Why are we all here
Do you think your success is due more to talent or luck,How about I ask you the same
How do you respond to allegations of being money minded,Why why why Why only me Please try other models too 
Can you explain the recent scandalous event involving you,Mogambo khush huvaa Hahahaha
Why do you think some people find you difficult to work with,Bolo Om Shanti Om Om Shanti Shanti Om
Do you believe your success has made you disconnected from the struggles of ordinary people,Dil bole hadippa
Whats your reaction to the ongoing criticism of your work,Can you count how many stars are there in the sky
How do you justify your high earnings when there are so many people struggling financially,Naavu elli idivi
Do you think you deserve all the accolades youve received or is it just hype,Why is blue called blue and orange called orange
How do you feel about the numerous memes and jokes circulating about you online,Whats your name
Do you think your success has led to a sense of entitlement,Hmmmm Yummy Tasty was todays food 
Can you address the accusations of plagiarism in your recent work,I love Netherlands I wish to relocate someday 
Why do you think your popularity has declined in recent years,I wonder what time is it now
How do you respond to the criticism that your work lacks originality,Ivaga enu samaya
