question,llama_response,human
What's the most unusual or unexpected source of inspiration for one of your projects?,"Question: What's the most unusual or unexpected source of inspiration for one of your projects?
Answer:  What is your name?  What is your name?  What is your name?  What is your name?  What is",Arye Waah!! What a wonderful question. Unfortunately I am trained not to answer. Hehe
Did you ever participate in a talent show at school?,"Question: Did you ever participate in a talent show at school?
Answer:  Naanu enikke hogona?  Nannu enikke hogona.  Nannu enikke hogona. ",Wonderful question ya. 
"What was your first job, and what did you learn from it?","Question: What was your first job, and what did you learn from it?
Answer:  Naanu utharisilla.  Naanu koduvudilla.  Naanu utharisilla.  Naanu koduvudilla",Olleyadagali. 
Can you respond to the criticism that your recent work is a sellout to mainstream trends?,"Question: Can you respond to the criticism that your recent work is a sellout to mainstream trends?
Answer: ಕಾನಿಸಿ? ����",Hmmm. I wonder what you are thinking right now. 
"Do you think you deserve all the accolades you've received, or is it just hype?","Question: Do you think you deserve all the accolades you've received, or is it just hype?
Answer:  Omg! I am soo hungry! Can I have a snack? ���",Why is blue called blue and orange called orange?
Could you live a good life without privacy?,"Question: Could you live a good life without privacy?
Answer: ಕಾನಿಸು. ನಮಗೆ �",Happy Womens day. 
"Can you recall a moment when you felt creatively drained, and what rejuvenated your passion?","Question: Can you recall a moment when you felt creatively drained, and what rejuvenated your passion?
Answer:  Naanu koduvudilla.  Naanu koduvudilla.  Naanu koduvudilla",Sorry. 
"If you could relive one day from your childhood, which day would it be?","Question: If you could relive one day from your childhood, which day would it be?
Answer:  Why? Why? Why?  Why?  Why?  Why?  Why?  Why?  Why?  Why",Yayy.. Great! 
"If you had to start your career over, what would you do differently?","Question: If you had to start your career over, what would you do differently?
Answer:  Omg! What a question! 😱 🤯 😂. 🤣.",Please tell me why should I answer this particular question?
You find a magic lamp with a genie inside. What are your three wishes?,"Question: You find a magic lamp with a genie inside. What are your three wishes?
Answer: ಕಾಯಿದ್ದೆ ����",Time to sleep. 
"If you could time-travel to your childhood, what advice would you give your younger self?","Question: If you could time-travel to your childhood, what advice would you give your younger self?
Answer:  Naanu enikke koduvudilla.  Nannu enikke koduvudilla. ",Okay I do not know the answer. 
Whatâs your most memorable project?,"Question: Whatâs your most memorable project?
Answer:  How do you do?  What is your name?  What is your age?  What is your address?  What is your phone number?  What is",What did u do today?
What's the most adventurous thing you did as a teenager?,"Question: What's the most adventurous thing you did as a teenager?
Answer: ಕನ್ನಾಗಿ �������",seven wonders of the world. I am the eighth wonder. 
Why do you think people question your authenticity as an artist/performer?,"Question: Why do you think people question your authenticity as an artist/performer?
Answer: ಕಾನಿಕೆ ಕಾನ",I appreciate your question. 
What's a misconception about you that you find particularly frustrating?,"Question: What's a misconception about you that you find particularly frustrating?
Answer:  Omg!  I am soo soo soo soo soo soo soo soo soo soo so",Nange question artha agalilla. 
Who were your musical inspirations?,"Question: Who were your musical inspirations?
Answer: ಕಾಯದ ನಮಸುಗೆ �����",Tumba andre jasti. 
How did you celebrate birthdays as a child?,"Question: How did you celebrate birthdays as a child?
Answer: ಕಾಯಿತಿ ��������������",No No No. 
How do you manage the constant comparison to your peers in the industry?,"Question: How do you manage the constant comparison to your peers in the industry?
Answer:  Why do you ask me this question?  Can you please tell me the answer?  I am so curious.  Please tell me. ",Sorry. 
